,document_id,sentence_number,sentence_text,tagged_text,ner_tag,tagged_text_loci,ner_model,probability
0,2147483647,1,rt replacing any of the long term scooby doo voice actors is like a delicate bomb defusal replacing all of them at once is ,scooby doo,B-creative_work,7,tner/bert-large-tweetner7-2020,0.423076
1,2147483647,1,rt 12 october 2016 bomb explosion a roadside ied targeted ashura procession in balkh district of balkh province killing 14 h ,ashura procession,B-event,10,tner/bert-large-tweetner7-2020,0.999954
2,2147483647,1,rt 12 october 2016 bomb explosion a roadside ied targeted ashura procession in balkh district of balkh province killing 14 h ,balkh district,B-location,13,tner/bert-large-tweetner7-2020,0.999981
3,2147483647,1,rt 12 october 2016 bomb explosion a roadside ied targeted ashura procession in balkh district of balkh province killing 14 h ,balkh province,B-location,16,tner/bert-large-tweetner7-2020,0.999972
4,2147483647,1,rt a car bomb ied went off at the gate of sayed ul shuhada highschool hazara populated school in barchi of kabul two more ,sayed ul shuhada,B-person,11,tner/bert-large-tweetner7-2020,0.961364
5,2147483647,1,rt a car bomb ied went off at the gate of sayed ul shuhada highschool hazara populated school in barchi of kabul two more ,highschool hazara,B-location,14,tner/bert-large-tweetner7-2020,0.513541
6,2147483647,1,rt a car bomb ied went off at the gate of sayed ul shuhada highschool hazara populated school in barchi of kabul two more ,school,B-location,17,tner/bert-large-tweetner7-2020,0.984502
7,2147483647,1,rt a car bomb ied went off at the gate of sayed ul shuhada highschool hazara populated school in barchi of kabul two more ,barchi,B-location,19,tner/bert-large-tweetner7-2020,0.999966
8,2147483647,1,rt a car bomb ied went off at the gate of sayed ul shuhada highschool hazara populated school in barchi of kabul two more ,kabul,B-location,21,tner/bert-large-tweetner7-2020,0.518537
9,2147483647,1,rt two ieds found destroyed in rajouri police  ,rajouri police,B-location,6,tner/bert-large-tweetner7-2020,0.999985
10,2147483647,1,rt ied fitted inside a bottle found in rajouri army and bomb squad on spot i told you long back as soon as rahul gand ,rajouri army,B-group,8,tner/bert-large-tweetner7-2020,0.999333
11,2147483647,1,rt 12 october 2016 bomb explosion a roadside ied targeted ashura procession in balkh district of balkh province killing 14 ,ashura procession,B-event,10,tner/bert-large-tweetner7-2020,0.999966
12,2147483647,1,rt 12 october 2016 bomb explosion a roadside ied targeted ashura procession in balkh district of balkh province killing 14 ,balkh district,B-location,13,tner/bert-large-tweetner7-2020,0.999983
13,2147483647,1,rt 12 october 2016 bomb explosion a roadside ied targeted ashura procession in balkh district of balkh province killing 14 ,balkh province,B-location,16,tner/bert-large-tweetner7-2020,0.999973
14,2147483647,1,rt ied fitted inside a bottle found in rajouri army and bomb squad on spot ,rajouri army,B-group,8,tner/bert-large-tweetner7-2020,0.999924
15,2147483647,1,rt bomb disposal squad neutralises ied detected on bandipora sopore road between badyara and kanbathi villages in bandipora ,bandipora,B-location,8,tner/bert-large-tweetner7-2020,0.999946
