id,foundation_name,tweet,tweet_date,tweeted_by_foundation,query_term,handle_type,region,tweet_pp,Topic,Count,Name
1511170975676911617,aapp_burma,rt a new flash report by nd burma member details the illegal confiscation of households buildings by the junta fro ,2022-04-05,True,@aapp_burma,Org,Myanmar, a new flash repo by nd burma member details the illegal confiscation of households buildings by the junta fro ,0,95,0_myanmar_burma_military_myanmars
1511441598030270474,NUGMyanmar,rt is deeply concerned about china s recent effort to establish a partnership with myanmar s illegitimate and g ,2022-04-05,True,@NUGMyanmar,Govt,Myanmar, is deeply concerned about china s recent effo to establish a panership with myanmar s illegitimate and g ,0,95,0_myanmar_burma_military_myanmars
1511388284492079118,cvdom2021,rt myanmar s democratically elected government which actually represents the people of myanmar has e ,2022-04-05,True,@cvdom2021,Movement,Myanmar, myanmar s democratically elected government which actually represents the people of myanmar has e ,0,95,0_myanmar_burma_military_myanmars
1511243115494928384,cvdom2021,rt china please work with engaging with genocidal sac junta that have committed many crimes against myanmar peopl ,2022-04-05,True,@cvdom2021,Movement,Myanmar, china please work with engaging with genocidal sac junta that have committed many crimes against myanmar peopl ,0,95,0_myanmar_burma_military_myanmars
1511635807643348994,MissWHPT,rt a huge privilege and joy to be with two of my favourite people a north korean friend and a ,2022-04-06,True,@MissWHPT,Activist,Myanmar, a huge privilege and joy to be with two of my favourite people a noh korean friend and a ,0,95,0_myanmar_burma_military_myanmars
1511546989967814664,Anfrel, here are the incidents and developments in myanmar that the asian network for free elections monitored from 28 march 3 april 2022  know more here ,2022-04-06,True,@Anfrel,Org,Asia, here are the incidents and developments in myanmar that the asian network for free elections monitored from 28 march 3 april 2022  know more here ,1,65,1_elections_asian_free_here
1511531890603298821,Anfrel,icymi will be launching its report on the electoral changes in this friday 8 april 2022 at it will be followed by a screening of the documentary film revolution of our times visit the event page to know more ,2022-04-06,True,@Anfrel,Org,Asia,icymi will be launching its repo on the electoral changes in this friday 8 april 2022 at it will be followed by a screening of the documentary film revolution of our times visit the event page to know more ,4,28,4_2022_repo_observation_icymi
1511721417897050113,ChinHumanRights,disproportionate chin people bear brunt of myanmar coup although representing only 1 of the total population in myanmar chin people share highly disproportionate amount of rights violations by the junta since the coup documentation shows ,2022-04-06,True,@ChinHumanRights,Org,Myanmar,dispropoionate chin people bear brunt of myanmar coup although representing only 1 of the total population in myanmar chin people share highly dispropoionate amount of rights violations by the junta since the coup documentation shows ,0,95,0_myanmar_burma_military_myanmars
1511561988304162820,ChinHumanRights,about 35 churches and 15 buildings associated with churches were destroyed in chin state and about 12 churches were destroyed in kayah state between february 2021 and january 2022 the irrawaddy reported citing ,2022-04-06,True,@ChinHumanRights,Org,Myanmar,about 35 churches and 15 buildings associated with churches were destroyed in chin state and about 12 churches were destroyed in kayah state between february 2021 and january 2022 the irrawaddy repoed citing ,0,95,0_myanmar_burma_military_myanmars
1512014645498114061,aapp_burma,rt life in insein prison after the coup in myanmar built to incarcerate around 5 000 people the prison has seen inmate number ,2022-04-07,True,@aapp_burma,Org,Myanmar, life in insein prison after the coup in myanmar built to incarcerate around 5 000 people the prison has seen inmate number ,-1,168,-1_people_at_to_in
1512018408287707136,NUGMyanmar,rt burma update had a discussion with on the importance of human rights justice for all victim ,2022-04-07,True,@NUGMyanmar,Govt,Myanmar, burma update had a discussion with on the impoance of human rights justice for all victim ,-1,168,-1_people_at_to_in
1511971897180782595,ChinHumanRights,disproportionate data shows 1 in every 5 persons in chin state or 20 of the total population of the state has been displaced since the feb 2021 coup in myanmar the same data shows 1 in every 10 internally displaced persons in all of myanmar is from chin state ,2022-04-07,True,@ChinHumanRights,Org,Myanmar,dispropoionate data shows 1 in every 5 persons in chin state or 20 of the total population of the state has been displaced since the feb 2021 coup in myanmar the same data shows 1 in every 10 internally displaced persons in all of myanmar is from chin state ,0,95,0_myanmar_burma_military_myanmars
1511998575437545479,JusticeMyanmar,rt australia s continued engagement with myanmar s military junta is an act of betrayal to its own democracy yadanar m ,2022-04-07,True,@JusticeMyanmar,Org,Myanmar, australia s continued engagement with myanmar s military junta is an act of betrayal to its own democracy yadanar m ,0,95,0_myanmar_burma_military_myanmars
1511914755271053315,JusticeMyanmar,rt our latest brief laws and regulations are weaponized to silence the media and restrict freedom of expression in asia but civil ,2022-04-07,True,@JusticeMyanmar,Org,Myanmar, our latest brief laws and regulations are weaponized to silence the media and restrict freedom of expression in asia but civil ,-1,168,-1_people_at_to_in
1512273984360181763,aapp_burma,rt harrowing prison conditions revealed in a series of smuggled sketches show the inhumanity of the junta as prisoners a ,2022-04-08,True,@aapp_burma,Org,Myanmar, harrowing prison conditions revealed in a series of smuggled sketches show the inhumanity of the junta as prisoners a ,2,61,2_junta_13_juntas_they
1512363024778395650,Altsean,rt listen now on our spotify on and for english and burmese translation go to our youtube asean s ,2022-04-08,True,@Altsean,Org,Myanmar, listen now on our spotify on and for english and burmese translation go to our youtube asean s ,0,95,0_myanmar_burma_military_myanmars
